,name,price_type,rating,rating_count,url,click,view
76,carrieraircraft,free,4.06,36,https://sidequestvr.com/app/6087/carrier-aircraft,77.1k,155.2k
77,crazykungfu-demo,demo,4.74,112,https://sidequestvr.com/app/1051/crazy-kung-fu-demo,67.7k,167.5k
78,tothetop,paid,4.74,62,https://sidequestvr.com/app/358/to-the-top,70.9k,356k
79,grab,prerelease,4.61,41,https://sidequestvr.com/app/4222/grab,72.4k,179.8k
80,rangedayvr,paid,4.43,46,https://sidequestvr.com/app/583/range-day-vr,71.3k,220.9k
81,nomorerainbows,free,4.82,116,https://sidequestvr.com/app/5818/no-more-rainbows,63k,115.5k
82,quakequest,free,4.76,62,https://sidequestvr.com/app/93/quakequest,68k,150.6k
83,handspace,free,4.07,45,https://sidequestvr.com/app/578/handspace,69.2k,168.4k
84,cards&tankards,free,4.88,268,https://sidequestvr.com/app/3732/cards-tankards,46.4k,146.2k
85,customhome:fnaf1office,free,3.97,35,https://sidequestvr.com/app/6605/custom-home-fnaf-1-office,68.8k,109.9k
86,shootingarena,prerelease,4.83,171,https://sidequestvr.com/app/1072/shooting-arena,53k,107.7k
87,zenvr,paid,4.18,28,https://sidequestvr.com/app/5026/zenvr,66k,133.2k
88,waryards,prerelease,4.48,56,https://sidequestvr.com/app/1355/war-yards,63.2k,228.5k
89,projectstardust,free,3.67,18,https://sidequestvr.com/app/1697/project-stardust,66.7k,199.3k
90,petsvr,paid,4.28,25,https://sidequestvr.com/app/2903/pets-vr,65.6k,213k
91,cosmicflow:arelaxingvrexperience,free,4.77,111,https://sidequestvr.com/app/567/cosmic-flow-a-relaxing-vr-experience,56.9k,130k
92,barbershopsimulator,paid,3.93,40,https://sidequestvr.com/app/3915/barbershop-simulator,63.3k,104.1k
93,customhome:rick&mortygaragecel-shaded,free,3.52,25,https://sidequestvr.com/app/3906/custom-home-rick-morty-garage-cel-shaded,64.3k,138.5k
94,openbrush,free,4.52,54,https://sidequestvr.com/app/2852/open-brush,61.1k,147.4k
95,lightsabertrainingvr,free,2.71,21,https://sidequestvr.com/app/5101/lightsaber-training-vr,64.7k,198.9k
96,axegenddemo,demo,4.64,99,https://sidequestvr.com/app/656/axegend-demo,56.2k,148k
97,synthridersdemo,demo,4.81,59,https://sidequestvr.com/app/2185/synth-riders-demo,59k,152.5k
98,battlearenavr,free,4.0,23,https://sidequestvr.com/app/1824/battle-arena-vr,62k,217.9k
99,projectdemigod-demo,free,4.6,57,https://sidequestvr.com/app/7586/project-demigod-demo,58.4k,101.3k
100,smashdrums!,paid,4.79,73,https://sidequestvr.com/app/1465/smash-drums,56.6k,145.2k
101,frenzyvr,paid,3.88,24,https://sidequestvr.com/app/5688/frenzy-vr,60.3k,97.5k
102,gorillasoccer,free,4.45,33,https://sidequestvr.com/app/7892/gorilla-soccer,58.8k,138k
103,happyrun!,prerelease,4.35,135,https://sidequestvr.com/app/2104/happy-run,49k,202.7k
104,advancedplayerphysicsdemo,free,3.0,34,https://sidequestvr.com/app/6059/advanced-player-physics-demo,57.4k,127k
105,agentsimulationdemo,demo,4.4,15,https://sidequestvr.com/app/5199/agent-simulation-demo,57.6k,114.2k
106,webguyvr,demo,4.5,46,https://sidequestvr.com/app/6331/web-guy-vr,54.5k,134k
107,arrows,demo,4.5,72,https://sidequestvr.com/app/517/arrows,52.1k,133.8k
108,mutatedvirus,paid,4.83,46,https://sidequestvr.com/app/2351/mutated-virus,53.6k,129k
109,bionichunter:theancientsword,paid,4.9,49,https://sidequestvr.com/app/2364/bionic-hunter-the-ancient-sword,53.2k,142.3k
110,arcaxerdemo,demo,4.74,98,https://sidequestvr.com/app/549/arcaxer-demo,48.3k,203k
111,tinycastles,free,4.47,17,https://sidequestvr.com/app/3352/tiny-castles,54.9k,128.3k
112,3dorganonvranatomy,free,3.62,26,https://sidequestvr.com/app/393/3d-organon-vr-anatomy,52.8k,129.6k
113,customhome:spongebob-krustykrab,free,3.97,30,https://sidequestvr.com/app/4009/custom-home-spongebob-krusty-krab,52.2k,80k
114,daysofheroes:d-day,demo,4.38,29,https://sidequestvr.com/app/3557/days-of-heroes-d-day,51.3k,95.8k
115,mysteryforestvr,prerelease,3.95,83,https://sidequestvr.com/app/856/mystery-forest-vr,46.9k,153.9k
116,seekervr,free,4.63,73,https://sidequestvr.com/app/5096/seeker-vr,46.1k,103.5k
117,physicsbowling,free,3.89,19,https://sidequestvr.com/app/472/physics-bowling,50.5k,100.7k
118,questzdoomlauncher,free,4.84,43,https://sidequestvr.com/app/802/questzdoom-launcher,47.7k,108k
119,hitstream,prerelease,4.89,144,https://sidequestvr.com/app/1086/hitstream,37.4k,102.1k
120,blade&sorcery:nomad,paid,4.39,54,https://sidequestvr.com/app/5732/blade-sorcery-nomad,46.4k,111.4k
121,mr.scribbles,prerelease,4.63,38,https://sidequestvr.com/app/444/mr-scribbles,47.1k,141.5k
122,sidequestmobile,free,4.79,14,https://sidequestvr.com/app/6125/sidequest-mobile,48.8k,71.1k
123,hyperstacks,demo,4.8,41,https://sidequestvr.com/app/1415/hyperstacks,45.8k,131.6k
124,ninjalegendsdemo,demo,4.67,24,https://sidequestvr.com/app/284/ninja-legends-demo,46.8k,115.1k
125,thefight,paid,3.67,9,https://sidequestvr.com/app/2267/the-fight,48.3k,93.6k
126,cinevr,free,3.0,26,https://sidequestvr.com/app/1523/cinevr,46.5k,120.2k
127,ultraclimbingplaygrounds,free,4.5,16,https://sidequestvr.com/app/4472/ultra-climbing-playgrounds,46.5k,113k
128,redlightgreenlight,free,4.6,10,https://sidequestvr.com/app/5480/red-light-green-light,46.9k,125.2k
129,cubism,paid,4.74,62,https://sidequestvr.com/app/403/cubism,41.8k,90.5k
130,cybercade,free,4.83,69,https://sidequestvr.com/app/1681/cybercade,40.8k,122.1k
131,blackholepool,demo,4.11,44,https://sidequestvr.com/app/3498/black-hole-pool,43.2k,72.3k
132,arkio,free,4.55,22,https://sidequestvr.com/app/2291/arkio,43.4k,141.5k
133,backrooms,free,4.15,27,https://sidequestvr.com/app/4672/backrooms,43.1k,155.6k
134,realmsofeternity,paidprerelease,4.62,39,https://sidequestvr.com/app/881/realms-of-eternity,41.5k,140.7k
135,oathbreakers,paid,4.71,58,https://sidequestvr.com/app/1395/oathbreakers,39.5k,144.7k
136,templek,free,3.66,65,https://sidequestvr.com/app/372/temple-k,40.1k,165.1k
137,sunshard-combatdemo,free,4.44,78,https://sidequestvr.com/app/225/sun-shard-combat-demo,37.6k,163.7k
138,simpsonsroom-animatedtv,free,4.18,17,https://sidequestvr.com/app/3963/simpsons-room-animated-tv,43.1k,82.7k
139,notspiderman,prerelease,3.81,16,https://sidequestvr.com/app/6033/not-spiderman,43k,104.6k
140,grandreality:vrpianoapp,free,4.12,33,https://sidequestvr.com/app/476/grand-reality-vr-piano-app,41.4k,129.1k
141,airbrigadeprototypetestflight,prerelease,3.66,35,https://sidequestvr.com/app/368/air-brigade-prototype-test-flight,41.6k,131.3k
142,simpleplanesvr,paid,4.62,13,https://sidequestvr.com/app/4820/simpleplanes-vr,42.8k,84.8k
143,gunworldvr-freedemo,free,4.2,15,https://sidequestvr.com/app/5780/gunworld-vr-free-demo,42.6k,88.6k
144,moonrider,opensource,4.49,97,https://sidequestvr.com/app/951/moon-rider,33.9k,84k
145,sunshard:handtrackingdemo-mightofthegods,demo,4.35,40,https://sidequestvr.com/app/400/sun-shard-hand-tracking-demo-might-of-the-gods,39.1k,98.6k
146,fencer-demo,free,2.1,10,https://sidequestvr.com/app/4871/fencer-demo,42k,88.5k
147,hauntedwarehouse,free,4.36,11,https://sidequestvr.com/app/1015/haunted-warehouse,41.4k,125.1k
148,npskillslabs,demo,3.0,11,https://sidequestvr.com/app/1361/np-skills-labs,40.6k,88.2k
149,spacesalvagedemo,demo,4.8,25,https://sidequestvr.com/app/5898/space-salvage-demo,38.7k,290.1k
150,tennisleaguevr-earlyaccessdemo,free,4.24,17,https://sidequestvr.com/app/4953/tennis-league-vr-early-access-demo,39.4k,60k
151,fugitive3d,opensource,4.21,14,https://sidequestvr.com/app/1192/fugitive-3d,39.6k,128.9k
152,sidequestinsideyourvrheadset:sideception,prerelease,4.66,29,https://sidequestvr.com/app/9473/sidequest-inside-your-vr-headset-sideception,38.1k,56.2k
153,pokequestvr,free,4.76,54,https://sidequestvr.com/app/6041/pokequest-vr,35.4k,68.6k
154,virtuoso,paid,4.93,43,https://sidequestvr.com/app/1295/virtuoso,36.2k,106.1k
155,ascending-dojo(alphatechdemo),demo,4.5,36,https://sidequestvr.com/app/3761/ascending-dojo-alpha-tech-demo,36.9k,94.1k
156,virtualpiano(alpha),free,3.67,15,https://sidequestvr.com/app/402/virtualpiano-alpha,38.5k,74.3k
157,virtualboygo,opensource,4.8,56,https://sidequestvr.com/app/125/virtualboygo,34.2k,168.5k
158,replika(earlyaccess),free,3.33,45,https://sidequestvr.com/app/5370/replika-early-access,36.4k,114.5k
159,blobbytennis,free,3.33,15,https://sidequestvr.com/app/253/blobby-tennis,38.4k,76.2k
160,vridge2,demo,2.8,30,https://sidequestvr.com/app/10/vridge-2,37.5k,109.4k
161,freddyfazbear'spizzeriasimulatorvrfangame,free,4.33,15,https://sidequestvr.com/app/2463/freddy-fazbears-pizzeria-simulator-vr-fan-game,37.9k,97.4k
162,airhockeyvr(physicallybasedmultiplayer/aibots),free,4.37,19,https://sidequestvr.com/app/4709/airhockeyvr-physically-based-multiplayer-ai-bots,37.5k,60.3k
163,mythicmage,paid,4.07,27,https://sidequestvr.com/app/1462/mythic-mage,36.1k,195.4k
164,guardiansvr,paidprerelease,4.86,37,https://sidequestvr.com/app/2804/guardians-vr,34.6k,122.4k
165,grappletournamentdemo,free,4.91,11,https://sidequestvr.com/app/5231/grapple-tournament-demo,36.8k,76.2k
166,skysquadron,demo,4.48,31,https://sidequestvr.com/app/1343/sky-squadron,34.4k,110.1k
