name,price_type,rating,rating_count,url,click,view
customhome:rick&mortygaragecel-shaded,free,3.52,25.0,https://sidequestvr.com/app/3906/custom-home-rick-morty-garage-cel-shaded,64.4k,138.7k
openbrush,free,4.52,54.0,https://sidequestvr.com/app/2852/open-brush,61.1k,147.5k
lightsabertrainingvr,free,2.71,21.0,https://sidequestvr.com/app/5101/lightsaber-training-vr,64.9k,199.3k
axegenddemo,demo,4.64,99.0,https://sidequestvr.com/app/656/axegend-demo,56.2k,148k
synthridersdemo,demo,4.81,59.0,https://sidequestvr.com/app/2185/synth-riders-demo,59k,152.5k
battlearenavr,free,4.0,23.0,https://sidequestvr.com/app/1824/battle-arena-vr,62k,218k
projectdemigod-demo,free,4.6,57.0,https://sidequestvr.com/app/7586/project-demigod-demo,58.6k,101.4k
smashdrums!,paid,4.79,73.0,https://sidequestvr.com/app/1465/smash-drums,56.6k,145.3k
frenzyvr,paid,3.88,24.0,https://sidequestvr.com/app/5688/frenzy-vr,60.4k,97.6k
gorillasoccer,free,4.45,33.0,https://sidequestvr.com/app/7892/gorilla-soccer,58.8k,138.1k
happyrun!,prerelease,4.35,135.0,https://sidequestvr.com/app/2104/happy-run,49.1k,202.8k
advancedplayerphysicsdemo,free,3.0,34.0,https://sidequestvr.com/app/6059/advanced-player-physics-demo,57.5k,127.3k
agentsimulationdemo,demo,4.4,15.0,https://sidequestvr.com/app/5199/agent-simulation-demo,57.7k,114.4k
webguyvr,demo,4.5,46.0,https://sidequestvr.com/app/6331/web-guy-vr,54.6k,134.2k
arrows,demo,4.5,72.0,https://sidequestvr.com/app/517/arrows,52.1k,133.9k
mutatedvirus,paid,4.83,46.0,https://sidequestvr.com/app/2351/mutated-virus,53.7k,129.2k
bionichunter:theancientsword,paid,4.9,49.0,https://sidequestvr.com/app/2364/bionic-hunter-the-ancient-sword,53.2k,142.4k
arcaxerdemo,demo,4.74,98.0,https://sidequestvr.com/app/549/arcaxer-demo,48.3k,203.1k
tinycastles,free,4.47,17.0,https://sidequestvr.com/app/3352/tiny-castles,54.9k,128.4k
3dorganonvranatomy,free,3.62,26.0,https://sidequestvr.com/app/393/3d-organon-vr-anatomy,52.9k,129.7k
customhome:spongebob-krustykrab,free,3.97,30.0,https://sidequestvr.com/app/4009/custom-home-spongebob-krusty-krab,52.4k,80.1k
daysofheroes:d-day,demo,4.38,29.0,https://sidequestvr.com/app/3557/days-of-heroes-d-day,51.3k,95.9k
mysteryforestvr,prerelease,3.95,83.0,https://sidequestvr.com/app/856/mystery-forest-vr,46.9k,153.9k
seekervr,free,4.63,73.0,https://sidequestvr.com/app/5096/seeker-vr,46.2k,103.7k
physicsbowling,free,3.89,19.0,https://sidequestvr.com/app/472/physics-bowling,50.5k,100.8k
questzdoomlauncher,free,4.84,43.0,https://sidequestvr.com/app/802/questzdoom-launcher,47.8k,108k
hitstream,prerelease,4.89,144.0,https://sidequestvr.com/app/1086/hitstream,37.5k,102.2k
blade&sorcery:nomad,paid,4.39,54.0,https://sidequestvr.com/app/5732/blade-sorcery-nomad,46.5k,111.7k
mr.scribbles,prerelease,4.63,38.0,https://sidequestvr.com/app/444/mr-scribbles,47.2k,141.6k
sidequestmobile,free,4.79,14.0,https://sidequestvr.com/app/6125/sidequest-mobile,48.8k,71.2k
hyperstacks,demo,4.8,41.0,https://sidequestvr.com/app/1415/hyperstacks,45.8k,131.7k
ninjalegendsdemo,demo,4.67,24.0,https://sidequestvr.com/app/284/ninja-legends-demo,46.9k,115.2k
thefight,paid,3.67,9.0,https://sidequestvr.com/app/2267/the-fight,48.3k,93.7k
cinevr,free,3.0,26.0,https://sidequestvr.com/app/1523/cinevr,46.6k,120.3k
ultraclimbingplaygrounds,free,4.5,16.0,https://sidequestvr.com/app/4472/ultra-climbing-playgrounds,46.6k,113.1k
redlightgreenlight,free,4.6,10.0,https://sidequestvr.com/app/5480/red-light-green-light,47k,125.3k
cubism,paid,4.74,62.0,https://sidequestvr.com/app/403/cubism,41.8k,90.5k
cybercade,free,4.83,69.0,https://sidequestvr.com/app/1681/cybercade,40.8k,122.1k
blackholepool,demo,4.11,44.0,https://sidequestvr.com/app/3498/black-hole-pool,43.2k,72.4k
arkio,free,4.55,22.0,https://sidequestvr.com/app/2291/arkio,43.4k,141.6k
backrooms,free,4.15,27.0,https://sidequestvr.com/app/4672/backrooms,43.2k,156k
realmsofeternity,paidprerelease,4.62,39.0,https://sidequestvr.com/app/881/realms-of-eternity,41.6k,140.8k
oathbreakers,paid,4.71,58.0,https://sidequestvr.com/app/1395/oathbreakers,39.5k,144.8k
templek,free,3.66,65.0,https://sidequestvr.com/app/372/temple-k,40.1k,165.1k
simpsonsroom-animatedtv,free,4.18,17.0,https://sidequestvr.com/app/3963/simpsons-room-animated-tv,43.2k,82.8k
sunshard-combatdemo,free,4.44,78.0,https://sidequestvr.com/app/225/sun-shard-combat-demo,37.6k,163.8k
notspiderman,prerelease,3.81,16.0,https://sidequestvr.com/app/6033/not-spiderman,43k,104.7k
grandreality:vrpianoapp,free,4.12,33.0,https://sidequestvr.com/app/476/grand-reality-vr-piano-app,41.4k,129.2k
airbrigadeprototypetestflight,prerelease,3.66,35.0,https://sidequestvr.com/app/368/air-brigade-prototype-test-flight,41.6k,131.4k
simpleplanesvr,paid,4.62,13.0,https://sidequestvr.com/app/4820/simpleplanes-vr,42.9k,84.9k
gunworldvr-freedemo,free,4.2,15.0,https://sidequestvr.com/app/5780/gunworld-vr-free-demo,42.7k,88.7k
moonrider,opensource,4.49,97.0,https://sidequestvr.com/app/951/moon-rider,34k,84.1k
sunshard:handtrackingdemo-mightofthegods,demo,4.35,40.0,https://sidequestvr.com/app/400/sun-shard-hand-tracking-demo-might-of-the-gods,39.1k,98.7k
fencer-demo,free,2.1,10.0,https://sidequestvr.com/app/4871/fencer-demo,42k,88.5k
hauntedwarehouse,free,4.36,11.0,https://sidequestvr.com/app/1015/haunted-warehouse,41.4k,125.2k
npskillslabs,demo,3.0,11.0,https://sidequestvr.com/app/1361/np-skills-labs,40.7k,88.4k
spacesalvagedemo,demo,4.8,25.0,https://sidequestvr.com/app/5898/space-salvage-demo,38.8k,291.2k
sidequestinsideyourvrheadset:sideception,prerelease,4.67,30.0,https://sidequestvr.com/app/9473/sidequest-inside-your-vr-headset-sideception,38.4k,56.8k
tennisleaguevr-earlyaccessdemo,free,4.24,17.0,https://sidequestvr.com/app/4953/tennis-league-vr-early-access-demo,39.5k,60.1k
fugitive3d,opensource,4.21,14.0,https://sidequestvr.com/app/1192/fugitive-3d,39.7k,129k
pokequestvr,free,4.76,54.0,https://sidequestvr.com/app/6041/pokequest-vr,35.5k,68.8k
virtuoso,paid,4.93,43.0,https://sidequestvr.com/app/1295/virtuoso,36.2k,106.1k
ascending-dojo(alphatechdemo),demo,4.5,36.0,https://sidequestvr.com/app/3761/ascending-dojo-alpha-tech-demo,36.9k,94.2k
virtualpiano(alpha),free,3.67,15.0,https://sidequestvr.com/app/402/virtualpiano-alpha,38.6k,74.3k
virtualboygo,opensource,4.8,56.0,https://sidequestvr.com/app/125/virtualboygo,34.2k,168.6k
replika(earlyaccess),free,3.33,45.0,https://sidequestvr.com/app/5370/replika-early-access,36.4k,114.6k
blobbytennis,free,3.33,15.0,https://sidequestvr.com/app/253/blobby-tennis,38.4k,76.3k
